City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Atuona,PF,77.9,clear sky,-9.8,-139.0333,Villa Enata
10,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
21,Mahebourg,MU,75.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
34,Kavieng,PG,82.2,light rain,-2.5744,150.7967,Nusa Island Retreat
36,Rikitea,PF,79.34,clear sky,-23.1203,-134.9692,People ThankYou
39,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
43,Touros,BR,83.3,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
56,Valparaiso,CL,75.43,clear sky,-33.0393,-71.6273,Hotel Ultramar
58,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
61,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
62,Vaini,TO,86.16,few clouds,-21.2,-175.2,Keleti Beach Resort
64,Samarai,PG,82.29,scattered clouds,-10.6167,150.6667,Nuli Sapi
69,Avarua,CK,84.25,scattered clouds,-21.2078,-159.775,Paradise Inn
70,Inirida,CO,80.98,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
71,Luderitz,,76.5,overcast clouds,-26.6481,15.1594,LÜDERITZ NEST HOTEL
73,Kapaa,US,81.48,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
80,Byron Bay,AU,76.87,moderate rain,-28.65,153.6167,Backpackers Inn
81,Esperance,AU,75.04,light rain,-33.8667,121.9,Hospitality Esperance
89,Tutoia,BR,82.38,light rain,-2.7619,-42.2744,Pousada Guará's
95,Bambous Virieux,MU,75.22,few clouds,-20.3428,57.7575,Casa Tia Villa
98,Kavaratti,IN,80.04,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
99,Port Hedland,AU,86.05,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
102,Guanica,PR,79.5,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
106,Butaritari,KI,82.04,light rain,3.0707,172.7902,Isles Sunset Lodge
118,Eirunepe,BR,76.1,moderate rain,-6.6603,-69.8736,Atrás de você
121,Grand Gaube,MU,75.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
122,Kirakira,SB,78.93,moderate rain,-10.4544,161.9205,SanBiz Lodge
125,Marovoay,MG,78.94,scattered clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
139,Karratha,AU,87.46,clear sky,-20.7377,116.8463,ibis Styles Karratha
140,Itarema,BR,79.39,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
141,Kimbe,PG,80.42,light rain,-5.5502,150.1429,Kimbe Bay Hotel
142,Prachuap Khiri Khan,TH,79.68,overcast clouds,12.2167,99.75,ผกากรองรีสอร์ท
144,Alofi,NU,84.09,clear sky,-19.0595,-169.9187,Taloa Heights
149,Neuquen,AR,76.89,clear sky,-38.9516,-68.0591,Hotel del Comahue
170,Dingle,PH,77.49,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
173,Road Town,VG,77.09,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
175,Charters Towers,AU,83.07,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
182,Hithadhoo,MV,81.14,overcast clouds,-0.6,73.0833,Scoop Guest House
189,Lorengau,PG,82.8,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
193,Porto Novo,BJ,84.02,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
202,Cabo San Lucas,MX,75.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
