City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Ayan,56.45,138.1667,overcast clouds,6.73,82,100,5.12,RU
1,Thompson,55.7435,-97.8558,few clouds,-14.64,58,20,6.91,CA
2,Dikson,73.5069,80.5464,overcast clouds,1.85,81,100,29.19,RU
3,Belaya Gora,68.5333,146.4167,overcast clouds,-26.01,95,96,5.26,RU
4,Qaanaaq,77.484,-69.3632,clear sky,-23.26,57,0,7.16,GL
5,Puerto Ayora,-0.7393,-90.3518,light rain,72.55,99,87,4.0,EC
6,Ushuaia,-54.8,-68.3,moderate rain,51.46,82,100,10.36,AR
7,The Pas,53.8251,-101.2541,clear sky,-11.18,58,0,5.75,CA
8,Atuona,-9.8,-139.0333,clear sky,77.9,76,4,12.21,PF
9,Albany,42.6001,-73.9662,overcast clouds,49.95,54,89,9.8,US
10,Saint-Joseph,-21.3667,55.6167,light rain,75.58,75,24,6.13,RE
11,Chachapoyas,-6.2317,-77.869,light rain,59.2,92,100,2.51,PE
12,Iqaluit,63.7506,-68.5145,light snow,-0.31,84,100,3.44,CA
13,Salalah,17.0151,54.0924,few clouds,73.49,64,20,3.44,OM
14,Fukue,32.6881,128.8419,broken clouds,48.56,66,75,8.05,JP
15,Caruray,10.3094,119.0128,broken clouds,77.7,88,77,7.78,PH
16,Bredasdorp,-34.5322,20.0403,few clouds,69.12,73,17,3.44,ZA
17,Port Alfred,-33.5906,26.891,clear sky,70.74,86,4,3.62,ZA
18,Mar Del Plata,-38.0023,-57.5575,moderate rain,61.09,79,100,24.0,AR
19,Codrington,-38.2667,141.9667,clear sky,66.7,60,1,12.97,AU
20,Ilulissat,69.2167,-51.1,broken clouds,26.62,74,75,11.5,GL
21,Mahebourg,-20.4081,57.7,few clouds,75.25,94,20,5.75,MU
22,Port Lincoln,-34.7333,135.8667,clear sky,68.88,64,0,14.16,AU
23,Brigantine,39.4101,-74.3646,clear sky,53.28,69,0,16.11,US
24,Mataura,-46.1927,168.8643,overcast clouds,58.48,45,90,8.7,NZ
25,La Ronge,55.1001,-105.2842,overcast clouds,-9.15,64,100,2.3,CA
26,Kaitangata,-46.2817,169.8464,overcast clouds,62.92,56,89,6.58,NZ
27,Severo-Kurilsk,50.6789,156.125,light snow,26.4,86,100,8.46,RU
28,Smirnykh,49.75,142.8333,overcast clouds,19.83,92,100,3.4,RU
29,Nikolskoye,59.7035,30.7861,scattered clouds,26.49,93,35,8.19,RU
30,Mezhdurechensk,53.6942,88.0603,clear sky,-12.12,99,10,3.0,RU
31,Kati,12.7441,-8.0726,clear sky,72.81,13,9,4.79,ML
32,Faya,18.3851,42.4509,scattered clouds,53.71,85,37,3.71,SA
