City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Broken Hill,-31.95,141.4333,78.53,33,0,17.38,AU,2022-02-07 01:18:09
1,Raudeberg,61.9875,5.1352,38.19,89,100,4.0,NO,2022-02-07 01:18:09
2,Mataura,-46.1927,168.8643,60.48,36,21,1.88,NZ,2022-02-07 01:14:07
3,Mount Gambier,-37.8333,140.7667,83.98,20,0,7.67,AU,2022-02-07 01:18:10
4,Kapaa,22.0752,-159.319,79.12,70,20,4.0,US,2022-02-07 01:18:10
5,Albany,42.6001,-73.9662,20.75,75,10,2.55,US,2022-02-07 01:14:19
6,Yellowknife,62.456,-114.3525,-1.68,84,75,4.61,CA,2022-02-07 01:18:11
7,Punta Arenas,-53.15,-70.9167,51.91,87,75,6.91,CL,2022-02-07 01:12:03
8,Torbay,47.6666,-52.7314,12.76,75,40,16.11,CA,2022-02-07 01:18:11
9,Jamestown,42.097,-79.2353,31.59,53,0,3.0,US,2022-02-07 01:17:56
10,San Vicente,-26.6167,-54.1333,61.3,59,0,2.91,AR,2022-02-07 01:18:12
11,Rikitea,-23.1203,-134.9692,79.0,71,45,19.26,PF,2022-02-07 01:14:08
12,Lompoc,34.6391,-120.4579,68.14,64,0,9.22,US,2022-02-07 01:17:46
13,Puerto Ayora,-0.7393,-90.3518,73.54,92,15,4.0,EC,2022-02-07 01:14:08
14,Saint-Leu,-21.15,55.2833,76.06,76,81,3.51,RE,2022-02-07 01:18:13
15,Bluff,-46.6,168.3333,60.8,63,0,12.57,NZ,2022-02-07 01:14:11
16,Bredasdorp,-34.5322,20.0403,62.28,88,8,3.44,ZA,2022-02-07 01:18:14
17,Arraial Do Cabo,-22.9661,-42.0278,76.14,89,0,20.98,BR,2022-02-07 01:18:14
18,Port Alfred,-33.5906,26.891,74.23,78,100,4.43,ZA,2022-02-07 01:11:18
19,Maumere,-8.6199,122.2111,84.16,72,7,6.15,ID,2022-02-07 01:18:15
20,Bethel,41.3712,-73.414,27.64,75,0,3.44,US,2022-02-07 01:16:02
21,Monchegorsk,67.9397,32.8739,11.25,91,100,9.57,RU,2022-02-07 01:18:16
22,Kaitangata,-46.2817,169.8464,59.94,78,62,6.69,NZ,2022-02-07 01:18:16
23,Stillwater,36.1156,-97.0584,42.57,65,0,4.61,US,2022-02-07 01:18:16
24,Atuona,-9.8,-139.0333,78.91,74,12,18.68,PF,2022-02-07 01:12:30
25,Longyearbyen,78.2186,15.6401,17.44,73,0,9.22,SJ,2022-02-07 01:14:14
26,New Norfolk,-42.7826,147.0587,76.66,35,0,1.99,AU,2022-02-07 01:17:59
27,Lorengau,-2.0226,147.2712,83.32,77,99,8.61,PG,2022-02-07 01:18:17
28,Talaya,61.3833,152.75,-22.07,80,3,0.25,RU,2022-02-07 01:18:18
29,Iqaluit,63.7506,-68.5145,-38.31,65,100,3.0,CA,2022-02-07 01:12:19
30,Busselton,-33.65,115.3333,65.05,57,36,19.1,AU,2022-02-07 01:14:13
31,Qaanaaq,77.484,-69.3632,-12.53,59,36,8.34,GL,2022-02-07 01:18:18
32,Upernavik,72.7868,-56.1549,-16.53,100,100,9.57,GL,2022-02-07 01:18:19
33,Norman Wells,65.282,-126.8329,-11.49,95,100,10.6,CA,2022-02-07 01:14:11
34,Mabaruma,8.2,-59.7833,72.73,98,100,3.13,GY,2022-02-07 01:18:20
35,Mehamn,71.0357,27.8492,17.69,85,78,13.24,NO,2022-02-07 01:15:38
36,Saldanha,-33.0117,17.9442,60.85,99,28,7.02,ZA,2022-02-07 01:18:20
37,Henties Bay,-22.116,14.2845,68.86,85,96,5.7,NA,2022-02-07 01:14:09
38,Banjar,-8.19,114.9675,84.06,83,100,4.88,ID,2022-02-07 01:18:21
39,Cherskiy,68.75,161.3,-28.32,99,24,0.43,RU,2022-02-07 01:18:21
40,Buciumi,47.0333,23.0667,34.79,84,100,7.76,RO,2022-02-07 01:18:22
41,Vikhorevka,56.1201,101.1636,13.59,98,100,2.62,RU,2022-02-07 01:18:23
42,Saskylakh,71.9167,114.0833,-24.18,100,97,3.4,RU,2022-02-07 01:18:23
43,Mandalgovi,45.7625,106.2708,3.22,70,8,3.8,MN,2022-02-07 01:18:23
44,Hastings,50.8552,0.5729,43.38,67,6,21.65,GB,2022-02-07 01:18:24
45,Severo-Kurilsk,50.6789,156.125,32.27,81,100,11.5,RU,2022-02-07 01:19:24
46,Bambous Virieux,-20.3428,57.7575,77.25,83,40,6.91,MU,2022-02-07 01:19:25
47,Varna,43.2167,27.9167,40.44,93,51,0.0,BG,2022-02-07 01:19:25
48,Xai-Xai,-25.0519,33.6442,75.61,79,37,13.0,MZ,2022-02-07 01:19:25
49,Kenora,49.8167,-94.4337,4.17,85,20,3.44,CA,2022-02-07 01:18:03
50,Ilulissat,69.2167,-51.1,3.22,60,100,9.22,GL,2022-02-07 01:19:26
51,Porangatu,-13.4408,-49.1486,71.1,94,100,2.95,BR,2022-02-07 01:19:26
52,Victoria,22.2855,114.1577,63.18,92,99,11.99,HK,2022-02-07 01:15:50
53,Paraiso,9.8383,-83.8656,67.06,97,69,3.53,CR,2022-02-07 01:19:27
54,Laguna,38.421,-121.4238,66.33,51,0,1.01,US,2022-02-07 01:19:28
55,Milos,36.75,24.4333,47.12,65,15,5.97,GR,2022-02-07 01:19:28
56,Karratha,-20.7377,116.8463,87.82,63,43,7.0,AU,2022-02-07 01:19:28
57,Srednekolymsk,67.45,153.6833,-29.6,97,51,1.16,RU,2022-02-07 01:19:29
